Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-21686][2020 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1+Redline 93 v400.ptm - Realtime: Stage1+Redline 93 v400.ptm]"
34.837,-17.97,-7.81,14.45,0.0,14.21,-10.32,14.76,0.26,15.24,190,1.000,0.00,0.00,392,438,6,6.00,0.45,147,136,3.09,1.10,202,699,0.00,4.68,0.000,4.7,0.00,0
34.916,-17.97,-7.81,14.46,0.0,14.21,-10.16,14.76,0.27,15.11,190,1.000,0.00,0.00,378,438,6,6.50,0.44,147,136,3.17,1.12,202,677,0.00,4.55,0.000,4.7,0.00,0
34.980,-17.97,-7.81,14.48,0.0,14.21,-10.03,14.76,0.28,14.99,190,1.000,0.00,0.00,381,438,6,6.00,0.43,147,136,3.24,1.12,202,660,0.00,4.39,0.000,4.7,0.00,0
35.035,-17.97,-7.81,14.49,0.0,14.21,-9.91,14.76,0.30,14.93,190,1.000,0.00,0.00,388,438,6,9.00,0.42,147,138,3.31,1.10,202,654,0.00,4.27,0.000,4.7,0.00,0
35.093,-17.97,-7.81,14.51,0.0,14.21,-9.80,14.76,0.31,14.99,190,1.000,0.00,0.00,375,438,6,10.00,0.42,147,138,3.40,1.08,202,648,0.00,4.16,0.000,4.7,0.00,0
35.159,-17.97,-7.81,14.51,0.0,14.21,-9.71,14.76,0.32,14.87,190,1.000,0.00,0.00,381,438,6,10.50,0.55,147,138,3.47,1.10,202,643,0.00,4.06,0.000,4.3,0.00,0
35.214,-17.97,-7.81,14.54,0.0,14.21,-9.62,14.76,0.32,14.76,190,1.000,0.00,0.00,383,438,6,11.50,0.55,147,138,3.54,1.10,202,643,0.00,3.97,0.000,4.3,0.00,0
35.279,-17.97,-7.81,14.55,0.0,14.21,-9.54,14.76,0.32,14.76,190,1.000,0.00,0.00,371,438,6,11.50,0.55,147,138,3.59,1.08,202,648,0.00,3.90,0.000,4.3,0.00,0
35.334,-17.97,-7.81,14.58,0.0,14.21,-9.50,14.76,0.34,14.76,190,1.000,0.00,0.00,380,438,6,11.50,0.55,147,138,3.66,1.08,202,650,0.00,3.85,0.000,4.3,0.00,0
35.391,-17.97,-7.81,14.59,0.0,14.21,-9.46,14.76,0.34,14.70,190,1.000,0.00,0.00,383,438,6,10.50,0.56,147,138,3.71,1.06,202,655,0.00,3.81,0.000,4.3,0.00,0
35.465,-17.97,-7.81,14.60,0.0,14.21,-9.43,14.76,0.34,14.70,190,1.000,0.00,0.00,375,438,6,10.50,0.56,147,138,3.74,1.06,202,665,0.00,3.78,0.000,4.3,0.00,0
35.518,-17.97,-7.81,14.63,0.0,14.21,-9.43,14.76,0.34,14.70,190,1.000,0.00,0.00,374,438,6,10.50,0.57,147,138,3.78,1.06,202,672,0.00,3.78,0.000,4.3,0.00,0
35.573,-17.97,-7.81,14.64,0.0,14.21,-9.42,14.76,0.34,14.76,190,1.000,0.00,0.00,383,438,6,10.50,0.57,147,138,3.81,1.06,202,680,0.00,3.77,0.000,4.3,0.00,0
35.641,-17.97,-7.81,14.66,0.0,14.21,-9.43,14.76,0.32,14.76,190,1.000,0.00,0.00,379,438,6,9.00,0.59,147,138,3.83,1.06,202,692,0.00,3.78,0.000,4.3,0.00,0
35.694,-17.97,-7.81,14.69,0.0,14.21,-9.46,14.76,0.32,14.76,190,1.000,0.00,0.00,377,438,6,8.50,0.59,147,138,3.87,1.06,202,702,0.00,3.81,0.000,4.3,0.00,0
35.765,-17.19,-7.81,14.70,0.0,14.21,-9.47,14.76,0.32,14.76,190,1.000,0.00,0.00,386,438,6,6.50,0.60,147,138,3.88,1.04,202,708,0.00,3.81,0.000,3.9,0.00,0
35.821,-17.19,-7.81,14.75,0.0,14.21,-9.51,14.76,0.32,14.76,190,1.000,0.00,0.00,372,438,6,6.00,0.61,147,138,3.89,1.04,202,722,0.00,3.87,0.000,3.9,0.00,0
35.875,-17.19,-7.81,14.80,0.0,14.21,-9.54,14.76,0.31,14.87,190,1.000,0.00,0.00,373,438,6,6.00,0.62,147,138,3.90,1.02,202,728,0.00,3.90,0.000,3.9,0.00,0
35.949,-17.19,-7.81,14.85,0.0,14.21,-9.60,14.76,0.31,14.87,190,1.000,0.00,0.00,371,438,6,6.00,0.63,147,138,3.88,1.02,202,737,0.00,3.96,0.000,3.9,0.00,0
35.993,-17.19,-7.81,14.91,0.0,14.21,-9.64,14.76,0.31,14.87,190,1.000,0.00,0.00,391,438,6,6.00,0.63,147,138,3.88,1.02,202,743,0.00,3.99,0.000,3.9,0.00,0
36.056,-16.41,-7.81,14.94,0.0,14.21,-9.70,14.76,0.30,14.87,190,1.000,0.00,0.00,390,438,6,6.50,0.64,147,138,3.86,1.02,202,748,0.00,4.06,0.000,3.9,0.00,0
36.115,-16.41,-7.81,15.00,0.0,14.21,-9.74,14.76,0.30,14.99,190,1.000,0.00,0.00,389,438,5,6.50,0.64,147,138,3.84,1.02,202,754,0.00,4.09,0.000,3.9,0.00,0
36.170,-16.41,-7.81,15.01,0.0,14.21,-9.80,14.76,0.30,14.99,190,1.000,0.00,0.00,382,438,5,6.50,0.49,147,138,3.82,1.02,202,762,0.00,4.16,0.000,3.9,0.00,0
36.247,-16.41,-7.81,15.04,0.0,14.21,-9.84,14.76,0.30,14.99,190,1.000,0.00,0.00,392,438,5,6.50,0.49,147,138,3.80,1.02,202,765,0.00,4.19,0.000,3.9,0.00,0
36.293,-16.41,-7.81,15.09,0.0,14.21,-9.90,14.76,0.28,15.05,190,1.000,0.00,0.00,378,438,5,6.50,0.49,147,138,3.79,1.02,202,771,0.00,4.26,0.000,3.9,0.00,0
36.364,-15.62,-7.81,15.06,0.0,14.21,-9.94,14.76,0.28,15.05,190,1.000,0.00,0.00,367,438,5,6.50,0.49,147,138,3.77,1.02,202,773,0.00,4.28,0.000,3.9,0.00,0
36.417,-15.62,-7.81,15.13,0.0,14.21,-9.98,14.76,0.28,15.05,190,1.000,0.00,0.00,389,438,5,6.50,0.50,147,138,3.76,1.02,202,777,0.00,4.34,0.000,3.9,0.00,0
36.474,-15.62,-7.81,15.16,0.0,14.21,-10.02,14.76,0.28,15.05,190,1.000,0.00,0.00,384,438,5,6.50,0.50,147,138,3.73,1.02,202,779,0.00,4.37,0.000,3.9,0.00,0
36.539,-15.62,-7.81,15.15,0.0,14.21,-10.05,14.76,0.28,15.05,190,1.000,0.00,0.00,392,438,5,6.50,0.50,147,138,3.70,1.02,202,777,0.00,4.42,0.000,3.9,0.00,0
36.595,-15.62,-7.81,15.16,0.0,14.21,-10.10,14.76,0.27,15.05,190,1.000,0.00,0.00,381,438,5,6.50,0.50,147,138,3.68,1.04,202,778,0.00,4.44,0.000,3.9,0.00,0
36.650,-15.62,-7.81,15.16,0.0,14.21,-10.09,14.76,0.27,15.11,190,1.000,0.00,0.00,383,438,5,6.50,0.50,147,138,3.66,1.04,202,775,0.00,4.45,0.000,3.9,0.00,0
36.725,-14.84,-7.81,15.19,0.0,14.21,-10.12,14.76,0.27,15.11,190,1.000,0.00,0.00,381,438,5,6.50,0.49,147,138,3.65,1.04,202,772,0.00,4.47,0.000,4.3,0.00,0
36.778,-14.84,-7.81,15.20,0.0,14.21,-10.12,14.76,0.27,15.11,190,1.000,0.00,0.00,397,438,5,6.50,0.49,147,138,3.64,1.04,202,773,0.00,4.47,0.000,4.3,0.00,0
36.835,-14.84,-7.81,15.19,0.0,14.21,-10.13,14.76,0.27,15.11,190,1.000,0.00,0.00,396,438,5,6.50,0.49,147,138,3.63,1.04,202,770,0.00,4.49,0.000,4.3,0.00,0
36.891,-14.84,-7.81,15.19,0.0,14.21,-10.12,14.76,0.27,15.11,190,1.000,0.00,0.00,385,438,5,6.50,0.49,147,138,3.63,1.06,202,768,0.00,4.47,0.000,4.3,0.00,0
36.963,-14.84,-7.81,15.20,0.0,14.21,-10.11,14.76,0.27,15.11,190,1.000,0.00,0.00,382,438,5,6.50,0.49,147,138,3.61,1.06,202,764,0.00,4.47,0.000,4.3,0.00,0
37.027,-14.84,-7.81,15.18,0.0,14.21,-10.10,14.76,0.27,15.11,190,1.000,0.00,0.00,380,438,5,6.50,0.49,147,138,3.60,1.06,202,762,0.00,4.45,0.000,4.3,0.00,0
37.074,-14.84,-7.81,15.22,0.0,14.21,-10.09,14.76,0.27,15.11,190,1.000,0.00,0.00,378,438,5,6.50,0.49,147,138,3.60,1.06,202,761,0.00,4.45,0.000,4.3,0.00,0
37.134,-14.06,-7.81,15.17,0.0,14.21,-10.08,14.76,0.27,15.11,190,1.000,0.00,0.00,368,438,5,6.50,0.49,147,138,3.59,1.06,202,760,0.00,4.43,0.000,4.3,0.00,0
37.193,-14.06,-7.81,15.20,0.0,14.21,-10.07,14.76,0.27,15.11,190,1.000,0.00,0.00,393,438,5,6.50,0.49,147,138,3.59,1.06,202,761,0.00,4.44,0.000,4.3,0.00,0
37.264,-14.06,-7.81,15.15,0.0,14.21,-10.07,14.76,0.27,15.11,190,1.000,0.00,0.00,387,438,5,6.50,0.49,147,138,3.58,1.06,202,758,0.00,4.41,0.000,4.3,0.00,0
37.317,-14.06,-7.81,15.13,0.0,14.21,-10.06,14.76,0.28,15.11,190,1.000,0.00,0.00,390,438,0,6.50,0.48,147,138,3.56,1.04,202,753,0.00,4.43,0.000,4.3,0.00,0
37.374,-14.06,-7.81,15.13,0.0,14.21,-10.07,14.76,0.27,15.11,190,1.000,0.00,0.00,379,438,5,7.00,0.48,147,138,3.56,1.04,202,752,0.00,4.41,0.000,4.3,0.00,0
37.446,-14.06,-7.81,15.10,0.0,14.21,-10.05,14.76,0.28,15.05,190,1.000,0.00,0.00,391,438,5,6.50,0.48,147,138,3.55,1.04,202,749,0.00,4.42,0.000,4.3,0.00,0
37.499,-14.06,-7.81,15.11,0.0,14.21,-10.06,14.76,0.28,15.11,190,1.000,0.00,0.00,375,438,4,6.50,0.48,147,138,3.55,1.04,202,748,0.00,4.40,0.000,4.3,0.00,0
37.554,-14.06,-7.81,15.07,0.0,14.21,-10.04,14.76,0.28,14.99,190,1.000,0.00,0.00,379,438,4,6.50,0.48,147,138,3.54,1.04,202,746,0.00,4.41,0.000,4.3,0.00,0
37.613,-14.06,-7.81,15.06,0.0,14.21,-10.04,14.76,0.28,14.99,190,1.000,0.00,0.00,373,438,4,6.50,0.48,147,138,3.54,1.04,202,744,0.00,4.39,0.000,4.3,0.00,0
37.673,-14.06,-7.81,15.05,0.0,14.21,-10.03,14.76,0.28,14.99,190,1.000,0.00,0.00,393,438,4,6.50,0.48,147,138,3.54,1.04,202,744,0.00,4.39,0.000,4.3,0.00,0
37.737,-14.06,-7.81,15.04,0.0,14.21,-10.02,14.76,0.28,14.99,190,1.000,0.00,0.00,380,438,4,6.50,0.48,147,138,3.54,1.04,202,743,0.00,4.37,0.000,4.3,0.00,0
37.793,-14.06,-7.81,15.04,0.0,14.21,-10.01,14.76,0.28,14.99,190,1.000,0.00,0.00,389,438,4,6.50,0.47,147,138,3.54,1.04,202,741,0.00,4.38,0.000,4.3,0.00,0
37.864,-14.06,-7.81,15.02,0.0,14.21,-10.00,14.76,0.28,14.99,190,1.000,0.00,0.00,380,438,4,6.50,0.47,147,138,3.53,1.06,202,738,0.00,4.35,0.000,4.3,0.00,0
37.917,-14.06,-7.81,15.00,0.0,14.21,-10.00,14.77,0.28,14.99,190,1.000,0.00,0.00,379,438,4,6.50,0.47,147,138,3.52,1.06,202,733,0.00,4.36,0.000,4.3,0.00,0
37.974,-14.06,-7.81,14.98,0.0,14.21,-9.99,14.77,0.28,14.99,190,1.000,0.00,0.00,378,438,4,6.00,0.47,147,138,3.54,1.06,202,736,0.00,4.34,0.000,4.3,0.00,0
38.034,-14.06,-7.81,15.00,0.0,14.21,-9.98,14.77,0.28,14.99,190,1.000,0.00,0.00,376,438,4,6.00,0.47,147,138,3.53,1.06,202,734,0.00,4.34,0.000,4.3,0.00,0
38.093,-14.06,-7.81,15.02,0.0,14.21,-9.97,14.77,0.28,14.99,190,1.000,0.00,0.00,381,438,4,6.00,0.47,147,138,3.53,1.06,202,732,0.00,4.32,0.000,4.3,0.00,0
38.163,-14.06,-7.81,15.01,0.0,14.21,-9.97,14.77,0.28,14.99,190,1.000,0.00,0.00,372,438,4,6.00,0.47,147,138,3.53,1.06,202,732,0.00,4.33,0.000,4.3,0.00,0
38.223,-14.06,-7.81,15.00,0.0,14.21,-9.95,14.77,0.28,14.99,190,1.000,0.00,0.00,393,438,3,6.00,0.47,147,138,3.54,1.06,202,733,0.00,4.32,0.000,3.9,0.00,0
38.287,-14.06,-7.81,15.02,0.0,14.21,-9.97,14.77,0.28,14.99,190,1.000,0.00,0.00,387,438,3,6.00,0.47,147,138,3.54,1.04,202,730,0.00,4.32,0.000,3.9,0.00,0
38.333,-13.28,-7.81,15.00,0.0,14.21,-9.94,14.77,0.28,14.99,190,1.000,0.00,0.00,393,438,3,6.00,0.47,147,138,3.54,1.04,202,730,0.00,4.31,0.000,3.9,0.00,0
38.393,-13.28,-7.81,15.04,0.0,14.21,-9.91,14.77,0.30,14.99,190,1.000,0.00,0.00,385,438,3,10.00,0.47,147,138,3.67,1.06,202,731,0.00,4.28,0.000,5.9,0.00,0
38.458,-13.28,-7.81,15.00,0.0,14.21,-9.74,14.77,0.31,14.87,190,1.000,0.00,0.00,389,438,3,9.50,0.47,147,138,3.88,1.20,202,733,0.00,4.13,0.000,5.9,0.00,0
38.514,-13.28,-7.81,15.02,0.0,14.21,-9.57,14.77,0.32,14.82,190,1.000,0.00,0.00,380,438,3,9.50,0.47,147,138,4.22,1.20,202,744,0.00,3.96,0.000,5.9,0.00,0
38.580,-13.28,-7.81,15.01,0.0,14.21,-9.41,14.77,0.35,14.82,190,1.000,0.00,0.00,377,438,3,9.50,0.81,147,138,4.52,1.22,202,759,0.00,3.79,0.000,5.9,0.00,0
38.634,-13.28,-7.81,15.00,0.0,14.21,-9.28,14.77,0.36,14.76,190,1.000,0.00,0.00,368,438,3,9.00,0.82,147,138,4.82,1.22,202,781,0.00,3.64,0.000,5.9,0.00,0
38.693,-13.28,-7.81,15.02,0.0,14.21,-9.19,14.77,0.36,14.87,190,1.000,0.00,0.00,393,438,2,6.50,0.85,147,138,5.00,1.18,202,801,0.00,3.56,0.000,5.5,0.00,0
38.765,-13.28,-7.81,14.99,0.0,14.21,-9.17,14.77,0.37,14.87,190,1.000,0.00,0.00,388,438,2,6.50,0.87,147,138,5.14,1.18,202,818,0.00,3.43,0.000,5.5,0.00,0
38.818,-13.28,-7.81,15.00,0.0,14.21,-9.16,14.77,0.37,14.87,190,1.000,0.00,0.00,374,438,2,7.00,0.87,147,138,5.13,1.18,202,816,0.00,3.41,0.000,5.5,0.00,0
38.872,-13.28,-7.81,15.00,0.0,14.21,-9.14,14.77,0.37,14.87,190,1.000,0.00,0.00,383,438,2,7.50,0.87,147,138,5.13,1.18,202,815,0.00,3.43,0.000,5.5,0.00,0
38.959,-13.28,-7.81,14.95,0.0,14.21,-9.14,14.77,0.37,14.87,190,1.000,0.00,0.00,390,438,2,7.00,0.87,147,138,5.16,1.16,202,815,0.00,3.41,0.000,5.5,0.00,0
39.017,-13.28,-7.81,14.95,0.0,14.21,-9.12,14.77,0.37,14.87,190,1.000,0.00,0.00,388,438,2,7.00,0.87,147,138,5.19,1.16,202,817,0.00,3.41,0.000,5.5,0.00,0
39.074,-13.28,-7.81,14.97,0.0,14.21,-9.13,14.77,0.37,14.87,190,1.000,0.00,0.00,374,438,2,7.00,0.87,147,138,5.23,1.18,202,821,0.00,3.38,0.000,5.5,0.00,0
39.139,-13.28,-7.81,14.94,0.0,14.21,-9.10,14.77,0.37,14.87,190,1.000,0.00,0.00,403,438,2,7.00,0.88,147,138,5.25,1.18,202,822,0.00,3.35,0.000,5.5,0.00,0
39.193,-13.28,-7.81,14.95,0.0,14.21,-9.11,14.77,0.37,14.87,190,1.000,0.00,0.00,397,438,0,7.00,0.88,147,138,5.28,1.18,202,827,0.00,3.33,0.000,5.5,0.00,0
39.252,-13.28,-7.81,14.93,0.0,14.21,-9.12,14.77,0.37,14.87,190,1.000,0.00,0.00,378,438,1,7.00,0.89,147,138,5.31,1.18,202,832,0.00,3.30,0.000,5.5,0.00,0
39.318,-13.28,-7.81,14.92,0.0,14.21,-9.11,14.77,0.37,14.87,190,1.000,0.00,0.00,386,438,1,7.00,0.89,147,138,5.32,1.18,202,834,0.00,3.29,0.000,5.5,0.00,0
39.373,-13.28,-7.81,14.96,0.0,14.21,-9.12,14.77,0.37,14.87,190,1.000,0.00,0.00,397,438,1,3.00,0.90,147,138,5.35,1.18,202,841,0.00,3.28,0.000,5.5,0.00,0
39.445,-13.28,-7.81,14.94,0.0,14.21,-9.14,14.77,0.37,14.87,190,1.000,0.00,0.00,388,438,1,3.00,0.90,147,138,5.33,1.18,202,839,0.00,3.26,0.000,5.5,0.00,0
39.498,-13.28,-7.81,14.94,0.0,14.21,-9.13,14.77,0.37,14.87,190,1.000,0.00,0.00,394,438,1,3.00,0.90,147,138,5.32,1.18,202,839,0.00,3.28,0.000,5.5,0.00,0
39.554,-13.28,-7.81,14.87,0.0,14.21,-9.14,14.77,0.37,14.87,190,1.000,0.00,0.00,379,438,1,3.00,0.89,147,138,5.30,1.18,202,838,0.00,3.30,0.000,5.5,0.00,0
39.625,-13.28,-7.81,14.85,0.0,14.21,-9.16,14.77,0.37,14.87,190,1.000,0.00,0.00,397,438,1,3.00,0.89,147,138,5.27,1.18,202,835,0.00,3.32,0.000,5.5,0.00,0
39.678,-13.28,-7.81,14.85,0.0,14.21,-9.16,14.77,0.37,14.87,190,1.000,0.00,0.00,390,438,1,3.00,0.89,147,138,5.26,1.18,202,835,0.00,3.32,0.000,5.5,0.00,0
39.733,-13.28,-7.81,14.80,0.0,14.21,-9.16,14.77,0.37,14.87,190,1.000,0.00,0.00,383,438,1,3.00,0.89,147,138,5.23,1.18,202,830,0.00,3.36,0.000,5.5,0.00,0
39.797,-13.28,-7.81,14.81,0.0,14.21,-9.18,14.77,0.37,14.87,190,1.000,0.00,0.00,374,438,1,3.00,0.89,147,138,5.21,1.18,202,829,0.00,3.36,0.000,5.5,0.00,0
39.854,-13.28,-7.81,14.74,0.0,14.21,-9.16,14.77,0.37,14.87,190,1.000,0.00,0.00,403,438,1,3.50,0.88,147,138,5.20,1.18,202,827,0.00,3.38,0.000,5.5,0.00,0
39.923,-13.28,-7.81,14.75,0.0,14.21,-9.16,14.77,0.37,14.87,190,1.000,0.00,0.00,398,438,1,3.50,0.88,147,138,5.18,1.18,202,823,0.00,3.40,0.000,5.5,0.00,0
39.977,-13.28,-7.81,14.76,0.0,14.21,-9.16,14.77,0.37,14.87,190,1.000,0.00,0.00,379,438,1,4.00,0.88,147,138,5.17,1.18,202,821,0.00,3.38,0.000,5.5,0.00,0
40.034,-13.28,-7.81,14.74,0.0,14.21,-9.14,14.77,0.37,14.87,190,1.000,0.00,0.00,389,438,0,4.00,0.87,147,138,5.12,1.18,202,816,0.00,3.42,0.000,5.1,0.00,0
40.093,-13.28,-7.81,14.75,0.0,14.21,-9.18,14.77,0.36,14.87,190,1.000,0.00,0.00,398,438,0,4.00,0.87,147,138,5.07,1.14,202,814,0.00,3.45,0.000,5.1,0.00,0
40.153,-13.28,-7.81,14.73,0.0,14.21,-9.20,14.77,0.36,14.87,190,1.000,0.00,0.00,391,438,0,4.50,0.69,147,138,5.03,1.14,202,814,0.00,3.47,0.000,5.1,0.00,0
40.218,-13.28,-7.81,14.73,0.0,14.21,-9.22,14.77,0.36,14.87,190,1.000,0.00,0.00,398,438,0,4.50,0.69,147,138,4.95,1.14,202,808,0.00,3.53,0.000,5.1,0.00,0
40.274,-13.28,-10.16,14.72,0.0,14.21,-9.25,14.70,0.36,14.82,190,1.000,0.00,0.00,379,438,0,4.50,0.69,147,138,4.91,1.14,202,805,0.00,3.57,0.000,5.1,0.00,0
40.332,-13.28,-17.19,14.71,0.0,14.21,-9.24,14.70,0.36,14.70,190,1.000,0.00,0.00,383,438,0,5.00,0.68,147,138,4.88,1.16,202,800,0.00,3.60,0.000,5.1,0.00,0
40.392,-13.28,-19.53,14.72,0.0,14.21,-9.25,14.70,0.36,14.70,190,1.000,0.00,0.00,397,438,0,5.50,0.68,147,138,4.86,1.16,202,794,0.00,3.61,0.000,5.5,0.00,0
40.455,-13.28,-23.44,14.72,0.0,14.21,-9.24,14.70,0.36,14.70,190,1.000,0.00,0.00,385,438,0,6.00,0.67,147,138,4.85,1.18,202,789,0.00,3.59,0.000,5.5,0.00,0
40.512,-13.28,-25.00,14.71,0.0,14.21,-9.20,14.70,0.37,14.70,190,1.000,0.00,0.00,393,438,0,6.00,0.67,147,138,4.81,1.18,202,772,0.00,3.58,0.000,5.5,0.00,0
40.571,-13.28,-26.56,14.73,0.0,14.21,-9.14,14.70,0.37,14.70,190,1.000,0.00,0.00,375,438,0,7.00,0.65,147,138,4.81,1.20,202,756,0.00,3.51,0.000,5.9,0.00,0
40.638,-13.28,-27.34,14.72,0.0,14.21,-9.06,14.70,0.39,14.47,190,1.000,0.00,0.00,384,438,0,7.50,0.64,147,138,4.80,1.20,202,739,0.00,3.44,0.000,5.9,0.00,0
40.696,-13.28,-28.91,14.73,0.0,14.21,-8.95,14.70,0.39,14.47,190,1.000,0.00,0.00,374,438,0,8.50,0.62,147,138,4.86,1.24,202,729,0.00,3.33,0.000,5.9,0.00,0
40.755,-13.28,-28.91,14.72,0.0,14.21,-8.83,14.70,0.41,14.47,190,1.000,0.00,0.00,377,438,0,8.50,0.61,147,138,4.97,1.24,202,702,0.00,3.20,0.000,6.3,0.00,0
40.814,-13.28,-28.91,14.73,0.0,14.21,-8.66,14.70,0.44,14.47,190,1.000,0.00,0.00,378,438,0,10.00,0.59,147,138,5.12,1.26,202,691,0.00,3.05,0.000,6.3,0.00,0
40.878,-13.28,-28.91,14.75,0.0,14.21,-8.50,14.70,0.47,14.47,190,1.000,0.00,0.00,368,438,0,10.50,0.58,147,138,5.32,1.26,202,674,0.00,2.89,0.000,6.3,0.00,0
40.934,-13.28,-28.91,14.74,0.0,14.21,-8.34,14.70,0.49,14.47,190,1.000,0.00,0.00,373,438,0,10.50,0.71,147,138,5.45,1.24,202,663,0.00,2.73,0.000,6.3,0.00,0
41.007,-13.28,-28.91,14.79,0.0,14.21,-8.18,14.70,0.50,14.47,190,1.000,0.00,0.00,377,438,0,10.50,0.70,147,138,5.60,1.24,202,660,0.00,2.57,0.000,6.3,0.00,0
41.053,-13.28,-28.91,14.82,0.0,14.21,-8.04,14.70,0.52,14.47,190,1.000,0.00,0.00,363,438,0,9.50,0.70,147,138,5.79,1.24,202,660,0.00,2.42,0.000,5.9,0.00,0
41.125,-12.50,-28.91,14.91,0.0,14.21,-7.93,14.70,0.52,14.42,190,1.000,0.00,0.00,373,438,0,9.50,0.71,147,138,5.88,1.24,202,668,0.00,2.31,0.000,5.9,0.00,0
41.178,-12.50,-28.91,15.02,0.0,14.21,-7.84,14.70,0.52,14.42,190,1.000,0.00,0.00,383,438,0,9.50,0.72,147,138,5.92,1.24,202,674,0.00,2.21,0.000,5.9,0.00,0
41.235,-11.72,-28.91,15.06,0.0,14.21,-7.80,14.70,0.52,14.42,190,1.000,0.00,0.00,376,438,0,9.50,0.73,147,138,5.99,1.24,202,687,0.00,2.15,0.000,5.9,0.00,0
41.292,-11.72,-28.91,15.15,0.0,14.21,-7.77,14.70,0.50,14.47,190,1.000,0.00,0.00,381,438,0,9.00,0.75,147,138,5.99,1.20,202,703,0.00,2.14,0.000,5.5,0.00,0
41.364,-11.72,-28.91,15.19,0.0,14.21,-7.78,14.70,0.49,14.47,190,1.000,0.00,0.00,375,438,0,9.50,0.75,147,138,5.93,1.20,202,708,0.00,2.11,0.000,5.5,0.00,0
41.418,-10.94,-28.91,15.32,0.0,14.21,-7.80,14.70,0.48,14.47,190,1.000,0.00,0.00,401,438,0,10.00,0.78,147,138,5.92,1.20,202,732,0.00,2.16,0.000,5.5,0.00,0
41.475,-10.16,-28.91,15.41,0.0,14.21,-7.85,14.70,0.47,14.47,190,1.000,0.00,0.00,381,438,0,10.00,0.79,147,138,5.85,1.18,202,744,0.00,2.18,0.000,5.5,0.00,0
41.534,-10.16,-28.91,15.52,0.0,14.21,-7.92,14.70,0.45,14.59,190,1.000,0.00,0.00,390,438,0,9.00,0.81,147,138,5.77,1.18,202,761,0.00,2.27,0.000,5.5,0.00,0
41.599,-9.38,-28.91,15.58,0.0,14.21,-8.01,14.70,0.44,14.59,190,1.000,0.00,0.00,375,438,0,8.50,0.82,147,138,5.70,1.18,202,777,0.00,2.33,0.000,5.1,0.00,0
41.657,-8.59,-28.91,15.64,0.0,14.21,-8.09,14.70,0.41,14.59,190,1.000,0.00,0.00,382,438,0,7.00,0.67,147,138,5.55,1.16,202,782,0.00,2.44,0.000,5.1,0.00,0
41.715,-8.59,-28.91,15.71,0.0,14.21,-8.21,14.70,0.40,14.59,190,1.000,0.00,0.00,376,438,0,6.50,0.67,147,138,5.42,1.16,202,788,0.00,2.53,0.000,5.1,0.00,0
41.774,-7.81,-28.91,15.81,0.0,14.21,-8.28,14.70,0.40,14.64,190,1.000,0.00,0.00,400,438,0,6.50,0.67,147,138,5.32,1.16,202,786,0.00,2.64,0.000,5.1,0.00,0
41.834,-7.81,-28.91,15.95,0.0,14.21,-8.38,14.70,0.40,14.64,190,1.000,0.00,0.00,393,438,0,6.00,0.67,147,138,5.19,1.18,202,775,0.00,2.72,0.000,5.5,0.00,0
41.907,-7.03,-28.91,15.94,0.0,14.21,-8.43,14.70,0.40,14.64,190,1.000,0.00,0.00,388,438,0,6.50,0.66,147,138,5.16,1.20,202,767,0.00,2.77,0.000,5.5,0.00,0
41.954,-7.03,-28.91,16.04,0.0,14.21,-8.45,14.70,0.40,14.64,190,1.000,0.00,0.00,386,438,0,6.50,0.65,147,138,5.14,1.20,202,758,0.00,2.81,0.000,5.9,0.00,0
42.018,-6.25,-28.91,16.03,0.0,14.21,-8.43,14.70,0.41,14.64,190,1.000,0.00,0.00,372,438,0,7.50,0.64,147,138,5.20,1.24,202,752,0.00,2.80,0.000,5.9,0.00,0
42.077,-6.25,-28.91,16.13,0.0,14.21,-8.41,14.70,0.41,14.59,190,1.000,0.00,0.00,378,438,0,8.00,0.64,147,138,5.29,1.24,202,753,0.00,2.76,0.000,5.9,0.00,0
42.133,-6.25,-28.91,16.12,0.0,14.21,-8.34,14.70,0.43,14.59,190,1.000,0.00,0.00,367,438,0,8.00,0.80,147,138,5.37,1.24,202,751,0.00,2.71,0.000,5.9,0.00,0
42.200,-5.47,-28.91,16.35,0.0,14.21,-8.31,14.70,0.43,14.59,190,1.000,0.00,0.00,401,438,0,8.50,0.80,147,138,5.50,1.24,202,753,0.00,2.67,0.000,5.9,0.00,0
42.252,-5.47,-28.91,16.26,0.0,14.21,-8.25,14.70,0.44,14.59,190,1.000,0.00,0.00,398,438,0,8.00,0.80,147,138,5.57,1.24,202,756,0.00,2.61,0.000,5.9,0.00,0
